distance,pond_airblast_orchard,pond_airblast_vineyard,pond_ground_high_f2m,pond_ground_high_vf2f,pond_ground_low_f2m,pond_ground_low_vf2f,pond_aerial_c2vc,pond_aerial_m2c,pond_aerial_f2m,pond_aerial_vf2f
218,0.0004494,4.18E-05,0.000972,0.001904,0.0007495,0.001215,0.003401,0.006174,0.01309,0.0467
219,0.0004468,4.14E-05,0.0009665,0.0018895,0.0007459,0.0012085,0.0033875,0.006155,0.01305,0.04655
220,0.0004442,4.11E-05,0.000961,0.001875,0.0007423,0.001202,0.003374,0.006136,0.01301,0.0464
221,0.0004416,4.08E-05,0.0009555,0.0018605,0.0007387,0.0011955,0.0033605,0.006117,0.01297,0.04625
222,0.000439,4.05E-05,0.00095,0.001846,0.0007351,0.001189,0.003347,0.006098,0.01293,0.0461
223,0.0004364,4.02E-05,0.0009445,0.0018315,0.0007315,0.0011825,0.0033335,0.006079,0.01289,0.04595
224,0.0004338,3.99E-05,0.000939,0.001817,0.0007279,0.001176,0.00332,0.00606,0.01285,0.0458
225,0.0004312,3.96E-05,0.0009335,0.0018025,0.0007243,0.0011695,0.0033065,0.006041,0.01281,0.04565
226,0.0004286,3.92E-05,0.000928,0.001788,0.0007207,0.001163,0.003293,0.006022,0.01277,0.0455
227,0.000426,3.89E-05,0.0009225,0.0017735,0.0007171,0.0011565,0.0032795,0.006003,0.01273,0.04535
228,0.0004234,3.86E-05,0.000917,0.001759,0.0007135,0.00115,0.003266,0.005984,0.01269,0.0452
229,0.0004208,3.83E-05,0.0009115,0.0017445,0.0007099,0.0011435,0.0032525,0.005965,0.01265,0.04505
230,0.0004182,3.80E-05,0.000906,0.00173,0.0007063,0.001137,0.003239,0.005946,0.01261,0.0449
231,0.0004156,3.77E-05,0.0009005,0.0017155,0.0007027,0.0011305,0.0032255,0.005927,0.01257,0.04475
232,0.000413,3.73E-05,0.000895,0.001701,0.0006991,0.001124,0.003212,0.005908,0.01253,0.0446
233,0.0004104,3.70E-05,0.0008895,0.0016865,0.0006955,0.0011175,0.0031985,0.005889,0.01249,0.04445
234,0.0004078,3.67E-05,0.000884,0.001672,0.0006919,0.001111,0.003185,0.00587,0.01245,0.0443
235,0.0004052,3.64E-05,0.0008785,0.0016575,0.0006883,0.0011045,0.0031715,0.005851,0.01241,0.04415
236,0.0004026,3.61E-05,0.000873,0.001643,0.0006847,0.001098,0.003158,0.005832,0.01237,0.044
237,0.0004,3.58E-05,0.0008675,0.0016285,0.0006811,0.0010915,0.0031445,0.005813,0.01233,0.04385
238,0.0003974,3.55E-05,0.000862,0.001614,0.0006775,0.001085,0.003131,0.005794,0.01229,0.0437
239,0.0003948,3.51E-05,0.0008565,0.0015995,0.0006739,0.0010785,0.0031175,0.005775,0.01225,0.04355
240,0.0003922,3.48E-05,0.000851,0.001585,0.0006703,0.001072,0.003104,0.005756,0.01221,0.0434
241,0.0003896,3.45E-05,0.0008455,0.0015705,0.0006667,0.0010655,0.0030905,0.005737,0.01217,0.04325
242,0.000387,3.42E-05,0.00084,0.001556,0.0006631,0.001059,0.003077,0.005718,0.01213,0.0431
243,0.0003844,3.39E-05,0.0008345,0.0015415,0.0006595,0.0010525,0.0030635,0.005699,0.01209,0.04295
244,0.0003818,3.36E-05,0.000829,0.001527,0.0006559,0.001046,0.00305,0.00568,0.01205,0.0428
245,0.0003792,3.33E-05,0.0008235,0.0015125,0.0006523,0.0010395,0.0030365,0.005661,0.01201,0.04265
246,0.0003766,3.29E-05,0.000818,0.001498,0.0006487,0.001033,0.003023,0.005642,0.01197,0.0425
247,0.000374,3.26E-05,0.0008125,0.0014835,0.0006451,0.0010265,0.0030095,0.005623,0.01193,0.04235
248,0.0003714,3.23E-05,0.000807,0.001469,0.0006415,0.00102,0.002996,0.005604,0.01189,0.0422
249,0.0003688,3.20E-05,0.0008015,0.0014545,0.0006379,0.0010135,0.0029825,0.005585,0.01185,0.04205
250,0.0003662,3.17E-05,0.000796,0.00144,0.0006343,0.001007,0.002969,0.005566,0.01181,0.0419
251,0.0003636,3.14E-05,0.0007905,0.0014255,0.0006307,0.0010005,0.0029555,0.005547,0.01177,0.04175
252,0.000361,3.10E-05,0.000785,0.001411,0.0006271,0.000994,0.002942,0.005528,0.01173,0.0416
253,0.0003584,3.07E-05,0.0007795,0.0013965,0.0006235,0.0009875,0.0029285,0.005509,0.01169,0.04145
254,0.0003558,3.04E-05,0.000774,0.001382,0.0006199,0.000981,0.002915,0.00549,0.01165,0.0413
255,0.0003532,3.01E-05,0.0007685,0.0013675,0.0006163,0.0009745,0.0029015,0.005471,0.01161,0.04115
256,0.0003506,2.98E-05,0.000763,0.001353,0.0006127,0.000968,0.002888,0.005452,0.01157,0.041
257,0.000348,2.95E-05,0.0007575,0.0013385,0.0006091,0.0009615,0.0028745,0.005433,0.01153,0.04085
258,0.0003454,2.92E-05,0.000752,0.001324,0.0006055,0.000955,0.002861,0.005414,0.01149,0.0407
259,0.0003428,2.88E-05,0.0007465,0.0013095,0.0006019,0.0009485,0.0028475,0.005395,0.01145,0.04055
260,0.0003402,2.85E-05,0.000741,0.001295,0.0005983,0.000942,0.002834,0.005376,0.01141,0.0404
261,0.0003376,2.82E-05,0.0007355,0.0012805,0.0005947,0.0009355,0.0028205,0.005357,0.01137,0.04025
262,0.000335,2.79E-05,0.00073,0.001266,0.0005911,0.000929,0.002807,0.005338,0.01133,0.0401
263,0.0003324,2.76E-05,0.0007245,0.0012515,0.0005875,0.0009225,0.0027935,0.005319,0.01129,0.03995
264,0.0003298,2.73E-05,0.000719,0.001237,0.0005839,0.000916,0.00278,0.0053,0.01125,0.0398
265,0.0003272,2.70E-05,0.0007135,0.0012225,0.0005803,0.0009095,0.0027665,0.005281,0.01121,0.03965
266,0.0003246,2.66E-05,0.000708,0.001208,0.0005767,0.000903,0.002753,0.005262,0.01117,0.0395
267,0.000322,2.63E-05,0.0007025,0.0011935,0.0005731,0.0008965,0.0027395,0.005243,0.01113,0.03935
268,0.0003194,2.60E-05,0.000697,0.001179,0.0005695,0.00089,0.002726,0.005224,0.01109,0.0392
269,0.0003168,2.57E-05,0.0006915,0.0011645,0.0005659,0.0008835,0.0027125,0.005205,0.01105,0.03905
270,0.0003142,2.54E-05,0.000686,0.00115,0.0005623,0.000877,0.002699,0.005186,0.01101,0.0389
271,0.0003116,2.51E-05,0.0006805,0.0011355,0.0005587,0.0008705,0.0026855,0.005167,0.01097,0.03875
272,0.000309,2.47E-05,0.000675,0.001121,0.0005551,0.000864,0.002672,0.005148,0.01093,0.0386
273,0.0003064,2.44E-05,0.0006695,0.0011065,0.0005515,0.0008575,0.0026585,0.005129,0.01089,0.03845
274,0.0003038,2.41E-05,0.000664,0.001092,0.0005479,0.000851,0.002645,0.00511,0.01085,0.0383
275,0.0003012,2.38E-05,0.0006585,0.0010775,0.0005443,0.0008445,0.0026315,0.005091,0.01081,0.03815
276,0.0002986,2.35E-05,0.000653,0.001063,0.0005407,0.000838,0.002618,0.005072,0.01077,0.038
277,0.000296,2.32E-05,0.0006475,0.0010485,0.0005371,0.0008315,0.0026045,0.005053,0.01073,0.03785
278,0.0002934,2.29E-05,0.000642,0.001034,0.0005335,0.000825,0.002591,0.005034,0.01069,0.0377
279,0.0002908,2.25E-05,0.0006365,0.0010195,0.0005299,0.0008185,0.0025775,0.005015,0.01065,0.03755
280,0.0002882,2.22E-05,0.000631,0.001005,0.0005263,0.000812,0.002564,0.004996,0.01061,0.0374
281,0.0002856,2.19E-05,0.0006255,0.0009905,0.0005227,0.0008055,0.0025505,0.004977,0.01057,0.03725
